"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
USA,107041325,0,1164340,0,105064981,0,812004,1097,319712.0,3478.0,1180066018,3524634.0,334805269
India,44986461,0,531832,0,44446514,0,8115,0,31982.0,378.0,929430169,660749.0,1406631776
France,40054863,0,167052,0,39823190,4030,64621,869,610737.0,2547.0,271490188,4139547.0,65584518
Germany,38422054,0,173995,0,38227200,300,20859,0,458040.0,2074.0,122332384,1458359.0,83883596
Brazil,37553337,0,702421,0,36249161,0,601755,0,174380.0,3262.0,63776166,296146.0,215353593
Japan,33803572,0,74694,0,0,0,0,83,269169.0,595.0,100414883,799578.0,125584838
S. Korea,31524477,0,34670,0,31177928,20192,311879,150,614154.0,675.0,15804065,307892.0,51329899
Italy,25842595,0,190242,0,25528203,0,124150,83,428832.0,3157.0,272336790,4519155.0,60262770
UK,24603076,0,225324,0,24352653,6154,25099,0,359180.0,3290.0,522526476,7628357.0,68497907
Russia,22900755,0,398736,0,22323212,0,178807,0,157063.0,2735.0,273400000,1875095.0,145805947
Turkey,17232066,0,102174,0,0,0,0,0,201399.0,1194.0,162743369,1902052.0,85561976
Spain,13845825,0,120964,0,13681014,0,43847,231,296363.0,2589.0,471036328,10082298.0,46719142
Vietnam,11602738,979,43203,1,10635065,148,924470,44,117254.0,437.0,85826548,867342.0,98953541
Australia,11543887,0,20660,0,11488902,0,34325,58,442824.0,793.0,81916639,3142326.0,26068792
Taiwan,10239998,0,19005,0,10220993,0,0,0,428656.0,796.0,30742304,1286903.0,23888595
Argentina,10044957,0,130472,0,9914485,0,0,363,218320.0,2836.0,35716069,776264.0,46010234
Netherlands,8610372,0,22992,0,8587380,0,0,53,500270.0,1336.0,25984435,1509718.0,17211447
Mexico,7611531,1352,334071,5,6857371,1018,420089,0,57855.0,2539.0,20013810,152124.0,131562772
Iran,7611224,86,146236,6,7364870,121,100118,236,88479.0,1700.0,56596583,657925.0,86022837
Indonesia,6802090,475,161674,3,6625209,972,15207,0,24369.0,579.0,114158919,408975.0,279134505
Poland,6516234,19,119595,0,5335940,0,1060699,267,172662.0,3169.0,38716632,1025884.0,37739785
Colombia,6366777,0,142741,0,6188459,0,35577,342,123596.0,2771.0,36951507,717327.0,51512762
Austria,6074296,303,22488,0,6045608,232,6200,14,669956.0,2480.0,211273524,23302116.0,9066710
Greece,6044517,0,36863,0,5987880,1033,19774,115,585900.0,3573.0,102228365,9909078.0,10316637
Portugal,5584388,0,26668,0,5554124,0,3596,61,550698.0,2630.0,46120142,4548082.0,10140570
Ukraine,5544969,0,112271,0,5417188,0,15510,0,128379.0,2599.0,32603805,754855.0,43192122
